Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
1,1.291,42,460,30,r207n11.gzip,[356],275,0.98,0.48,0.88,0.52,0.62,0.75,"[[2223   42]
 [   5   38]]",0.98,0.27,0.89,0.32,0.42,0.61,"[[11271   186]
 [    9    70]]",0.99,0.65,0.82,0.68,0.73,0.78,"[[2250   18]
 [   7   33]]",0.99,0.43,0.85,0.48,0.57,0.71,"[[11377    84]
 [   11    64]]"
1,1.354,42,460,11,r207n11.gzip,[339],250,0.98,0.49,0.88,0.54,0.63,0.76,"[[2225   40]
 [   5   38]]",0.98,0.29,0.88,0.33,0.43,0.62,"[[11286   172]
 [    9    69]]",0.99,0.69,0.79,0.71,0.74,0.77,"[[2262   12]
 [   7   27]]",0.99,0.49,0.82,0.53,0.61,0.72,"[[11424    52]
 [   11    49]]"
1,2.113,42,460,14,r207n11.gzip,[217],102,0.93,0.21,0.89,0.24,0.34,0.54,"[[2110  153]
 [   5   40]]",0.94,0.1,0.9,0.12,0.18,0.34,"[[10734   714]
 [    9    79]]",0.99,0.59,0.81,0.62,0.68,0.75,"[[2252   20]
 [   7   29]]",0.99,0.37,0.83,0.42,0.51,0.67,"[[11376    94]
 [   11    55]]"
1,1.436,42,460,7,r207n11.gzip,[320],222,0.97,0.35,0.87,0.4,0.5,0.67,"[[2206   63]
 [   5   34]]",0.98,0.2,0.87,0.24,0.32,0.52,"[[11226   241]
 [    9    60]]",0.99,0.72,0.82,0.74,0.77,0.8,"[[2255   13]
 [   7   33]]",0.99,0.52,0.85,0.56,0.64,0.75,"[[11403    59]
 [   11    63]]"
1,1.769,42,460,27,r207n11.gzip,[260],146,0.96,0.3,0.89,0.35,0.45,0.64,"[[2170   93]
 [   5   40]]",0.97,0.17,0.9,0.2,0.28,0.48,"[[11069   381]
 [    9    77]]",0.99,0.63,0.81,0.66,0.71,0.76,"[[2255   17]
 [   7   29]]",0.99,0.42,0.84,0.46,0.56,0.7,"[[11388    80]
 [   11    57]]"
1,2.113,42,460,14,r207n11.gzip,[217],102,0.93,0.2,0.88,0.24,0.33,0.53,"[[2120  146]
 [   5   37]]",0.94,0.1,0.89,0.12,0.18,0.34,"[[10798   658]
 [    9    71]]",0.99,0.61,0.78,0.64,0.68,0.74,"[[2260   16]
 [   7   25]]",0.99,0.38,0.8,0.43,0.52,0.66,"[[11407    73]
 [   11    45]]"
1,1.1740000000000002,42,460,22,r207n11.gzip,[391],333,0.98,0.44,0.89,0.49,0.59,0.74,"[[2213   50]
 [   5   40]]",0.98,0.23,0.89,0.27,0.37,0.57,"[[11210   243]
 [    9    74]]",0.99,0.64,0.81,0.67,0.72,0.77,"[[2256   16]
 [   7   29]]",0.99,0.43,0.84,0.48,0.57,0.71,"[[11393    75]
 [   11    57]]"
1,1.255,42,460,30,r207n11.gzip,[366],291,0.98,0.45,0.89,0.5,0.6,0.74,"[[2214   49]
 [   5   40]]",0.98,0.24,0.89,0.28,0.38,0.58,"[[11219   234]
 [    9    74]]",0.99,0.63,0.82,0.66,0.71,0.77,"[[2250   19]
 [   7   32]]",0.99,0.44,0.85,0.48,0.58,0.71,"[[11383    80]
 [   11    62]]"
2,1.264,42,460,14,r207n11.gzip,"[363, 287]",227,0.99,0.68,0.64,0.67,0.66,0.65,"[[2257   12]
 [  14   25]]",0.99,0.54,0.7,0.57,0.61,0.66,"[[11423    42]
 [   21    50]]",0.99,0.94,0.47,0.79,0.63,0.52,"[[2271    1]
 [  19   17]]",1.0,0.79,0.54,0.72,0.64,0.58,"[[11458    10]
 [   31    37]]"
1,1.517,42,460,5,r207n11.gzip,[303],199,0.97,0.43,0.89,0.48,0.58,0.73,"[[2209   54]
 [   5   40]]",0.98,0.22,0.89,0.26,0.36,0.56,"[[11205   250]
 [    9    72]]",0.93,0.19,0.84,0.22,0.31,0.5,"[[2110  155]
 [   7   36]]",0.93,0.08,0.87,0.1,0.15,0.3,"[[10619   832]
 [   11    74]]"
1,1.291,42,460,30,r205n13.gzip,[356],275,0.94,0.8,0.99,0.83,0.89,0.94,"[[1063   82]
 [   4  335]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6208  530]
 [   7  672]]",0.94,0.81,0.99,0.84,0.89,0.95,"[[1064   81]
 [   4  335]]",0.93,0.57,0.99,0.62,0.72,0.86,"[[6227  511]
 [   7  672]]"
1,1.354,42,460,11,r205n13.gzip,[339],250,0.94,0.8,0.99,0.83,0.89,0.94,"[[1063   82]
 [   4  335]]",0.93,0.56,0.99,0.61,0.71,0.86,"[[6207  531]
 [   7  672]]",0.98,0.92,0.99,0.93,0.95,0.97,"[[1121   29]
 [   4  330]]",0.98,0.8,0.99,0.83,0.89,0.95,"[[6583  163]
 [   7  664]]"
1,2.113,42,460,14,r205n13.gzip,[217],102,0.94,0.8,0.99,0.83,0.88,0.94,"[[1060   85]
 [   4  335]]",0.93,0.55,0.99,0.61,0.71,0.85,"[[6196  542]
 [   7  672]]",0.98,0.91,0.99,0.93,0.95,0.97,"[[1117   31]
 [   4  332]]",0.98,0.79,0.99,0.82,0.88,0.94,"[[6568  176]
 [   7  666]]"
1,1.436,42,460,7,r205n13.gzip,[320],222,0.94,0.81,0.99,0.84,0.89,0.95,"[[1064   81]
 [   4  335]]",0.93,0.56,0.99,0.61,0.72,0.86,"[[6210  528]
 [   7  672]]",1.0,1.0,0.99,1.0,0.99,0.99,"[[1149    1]
 [   4  330]]",1.0,0.99,0.99,0.99,0.99,0.99,"[[6736   10]
 [   7  664]]"
1,1.775,42,460,27,r205n13.gzip,[259],145,0.94,0.79,0.99,0.82,0.88,0.94,"[[1057   88]
 [   4  335]]",0.93,0.55,0.99,0.61,0.71,0.85,"[[6196  542]
 [   7  672]]",0.94,0.81,0.99,0.84,0.89,0.95,"[[1066   79]
 [   4  335]]",0.93,0.57,0.99,0.62,0.72,0.86,"[[6227  511]
 [   7  672]]"
1,1.175,42,460,22,r205n13.gzip,[391],332,0.94,0.81,0.99,0.84,0.89,0.95,"[[1064   81]
 [   4  335]]",0.93,0.56,0.99,0.61,0.72,0.86,"[[6211  527]
 [   7  672]]",0.94,0.81,0.99,0.84,0.89,0.95,"[[1067   78]
 [   4  335]]",0.93,0.58,0.99,0.63,0.73,0.87,"[[6246  492]
 [   7  672]]"
1,1.257,42,460,30,r205n13.gzip,[365],290,0.96,0.84,0.99,0.87,0.91,0.96,"[[1083   62]
 [   4  335]]",0.94,0.63,0.99,0.68,0.77,0.89,"[[6337  401]
 [   7  672]]",0.96,0.87,0.99,0.89,0.92,0.96,"[[1094   51]
 [   4  335]]",0.95,0.65,0.99,0.7,0.79,0.9,"[[6383  355]
 [   7  672]]"
